"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"254",774,4,0,-0.5,1,1,31,6,16,1,0,1
"255",776,5,1,-0.5,1,1,24,6,12,4,0.666666686534882,1
"256",777,7,0,-1,0,0,22,4,21,2,0,1
"257",778,4,1,0,1,1,31,6,13,4,1,1
"258",779,4,0,-1,0,1,35,5,9,1,0,1
"259",783,7,1,0.5,1,0,37,6,21,6,1,1
"260",786,4,1,0,1,1,42,6,18,4,1,1
"261",789,6,1,0.5,1,0,65,6,23,6,1,1
"262",791,2,0,-0.5,1,1,42,7,16,1,0,1
"263",795,6,0,0,1,1,57,3,15,2,0,1
"264",796,4,1,0.5,1,1,51,5,20,4,0.333333343267441,1
"265",801,4,0,-0.5,0,1,61,4,6,0,1,1
"266",810,4,0,-1,1,1,42,3,10,6,0,1
"267",813,5,1,0.5,0,0,46,7,23,5,0.666666686534882,1
"268",815,5,1,0,1,0,49,4,21,5,0.333333343267441,1
"269",818,4,1,0,1,1,39,5,15,4,0.666666686534882,1
"270",822,2,0,0.5,1,0,29,6,18,0,0,1
"271",835,4,1,-0.5,0,0,48,3,11,2,1,1
"272",836,6,1,0.5,1,0,53,6,17,4,0.666666686534882,1
"273",837,6,1,0,1,1,35,4,15,5,0.666666686534882,1
"274",844,6,1,-0.5,1,1,64,3,10,6,0.666666686534882,1
"275",849,6,0,0.5,1,1,84,3,12,1,0.333333343267441,1
"276",856,6,1,0.5,1,1,43,6,23,6,0.666666686534882,1
"277",860,6,1,0,1,1,63,3,15,6,1,1
"278",863,3,1,0.5,1,0,18,3,23,5,0.666666686534882,1
"279",867,4,0,0.5,1,1,29,3,22,0,0,1
"280",872,4,1,0,1,1,48,6,13,4,0.666666686534882,1
"281",873,6,1,0.5,1,1,29,4,14,6,1,1
"282",876,6,1,0,1,0,79,6,19,4,0.666666686534882,1
"283",885,4,1,-0.5,1,1,32,7,14,5,1,1
"284",888,5,1,1,1,0,49,5,13,3,0.333333343267441,1
"285",893,6,1,0,1,1,24,5,18,5,0.333333343267441,1
"286",897,4,0,-0.5,1,0,65,4,20,0,0,1
"287",898,3,0,-1,1,0,61,3,21,0,0,1
"288",899,4,0,0.5,1,1,61,5,17,5,0.666666686534882,1
"289",901,1,0,-1,1,1,63,7,18,0,0,1
"290",903,3,0,-1,0,0,64,4,20,1,0,1
"291",907,5,1,0.5,1,0,63,7,23,5,0.666666686534882,1
"292",908,5,1,0.5,1,0,36,5,21,5,1,1
"293",911,5,0,-0.5,0,1,35,3,14,1,0,1
"294",913,4,0,-0.5,0,0,43,4,11,0,0,1
"295",916,3,0,0,1,0,40,7,22,2,0,1
"296",919,4,0,0,0,1,61,3,10,0,0,1
"297",922,1,0,0,0,1,28,6,6,0,0,1
"298",924,4,0,-1,1,1,75,4,10,3,0,1
"299",929,4,0,0,1,0,40,5,21,3,0.333333343267441,1
"300",930,3,0,-0.5,1,0,74,4,6,0,0,1
"301",932,6,1,-1,1,1,86,1,12,6,0,1
"302",943,5,1,0.5,1,1,23,4,5,6,0.666666686534882,1
"303",947,2,0,0,1,1,28,6,19,1,0,1
"304",951,2,0,-1,0,0,58,7,23,0,0,1
"305",953,2,0,0,1,1,51,4,16,0,0,1
"306",955,4,0,-1,1,1,67,4,8,3,0,1
"307",959,6,0,-1,0,1,38,5,17,0,0,1
"308",973,2,0,0,1,0,20,4,3,1,0.333333343267441,1
"309",976,3,0,-0.5,1,1,44,3,18,0,0,1
"310",979,5,1,0,1,0,52,6,23,6,1,1
"311",981,3,0,-0.5,1,0,40,7,21,2,0,1
"312",985,4,0,-0.5,1,1,57,4,21,2,0.333333343267441,1
"313",986,4,0,-0.5,1,0,52,4,20,0,0,1
"314",987,4,1,-0.5,1,1,44,4,20,4,0.666666686534882,1
"315",989,6,1,0.5,1,0,37,3,21,4,1,1
"316",996,2,1,0,1,0,77,4,23,6,1,1
"317",999,4,0,0,1,0,80,2,9,1,0,1
"318",1002,4,1,0,0,1,57,3,16,3,0.333333343267441,1
"319",1007,4,0,-0.5,1,0,49,7,21,2,0.333333343267441,1
"320",1012,4,1,0.5,1,1,43,5,19,6,1,1
"321",1013,5,1,0.5,1,1,51,6,21,6,0.333333343267441,1
"322",1017,5,1,0,1,1,50,5,21,5,0.666666686534882,1
"323",1020,4,0,0,0,1,38,7,21,2,0,1
"324",1021,6,1,1,1,0,24,4,18,5,1,1
"325",1023,5,1,-0.5,1,0,51,4,20,5,0.666666686534882,1
"326",1026,4,1,0.5,0,1,56,6,16,3,0,1
"327",1030,6,0,-1,0,0,45,3,9,0,0,1
"328",1031,2,0,0.5,1,0,64,7,17,0,0,1
"329",1033,2,0,-0.5,1,0,33,5,4,2,0,1
"330",1034,4,0,-0.5,1,1,34,3,4,1,0,1
"331",1036,4,0,0,1,0,31,6,22,2,0,1
"332",1039,6,1,0.5,1,0,59,6,23,6,1,1
"333",1040,5,1,-1,1,1,54,4,18,4,0.666666686534882,1
"334",1049,6,1,0.5,1,1,67,3,20,6,1,1
"335",1050,3,0,0,0,1,52,7,20,2,0,1
"336",1054,5,1,-0.5,1,1,57,3,15,5,0.666666686534882,1
"337",1058,4,1,1,1,0,56,6,13,6,1,1
"338",1059,5,1,0,1,0,53,7,23,4,0.333333343267441,1
"339",1064,4,0,-1,0,0,51,3,11,0,0,1
"340",1073,6,1,-1,1,1,51,4,7,5,0.666666686534882,1
"341",1074,4,1,-0.5,1,1,25,3,8,4,0,1
"342",1086,6,0,-0.5,1,1,82,1,13,0,0,1
"343",1087,5,0,-0.5,1,1,66,3,10,3,0,1
"344",1089,2,0,-0.5,1,0,68,7,15,0,0,1
"345",1090,4,1,0.5,1,0,55,3,17,5,1,1
"346",1091,5,1,0,1,1,31,6,18,5,0,1
"347",1093,6,1,0.5,1,1,36,6,13,5,0.666666686534882,1
"348",1095,4,1,0.5,1,1,25,7,21,5,0.666666686534882,1
"349",1104,4,1,-0.5,1,1,34,4,18,5,0.666666686534882,1
"350",1109,4,0,-1,1,0,23,5,7,2,0,1
"351",1111,4,1,0,1,1,30,4,17,5,1,1
"352",1112,4,0,-0.5,0,0,35,6,17,1,0,1
"353",1122,1,0,-1,1,1,29,7,16,2,0,1
"354",1124,4,0,-0.5,0,1,33,6,17,1,0,1
"355",1128,5,1,0,1,1,54,4,19,6,1,1
"356",1131,6,1,0.5,1,1,51,3,18,5,1,1
"357",1136,4,1,0.5,0,1,36,7,23,4,0.333333343267441,1
"358",1143,3,1,0.5,1,1,63,6,15,4,0.666666686534882,1
"359",1147,4,0,-1,1,1,63,3,15,0,0,1
"360",1148,4,0,0.5,1,0,49,3,20,2,0,1
"361",1149,6,1,0.5,1,0,25,4,12,5,1,1
"362",1155,6,0,-1,1,1,58,4,18,4,0,1
"363",1157,7,1,0.5,1,0,61,4,23,6,1,1
"364",1162,4,0,-0.5,1,0,70,4,11,3,0,1
"365",1163,4,1,-1,1,0,39,3,21,3,0,1
"366",1167,5,1,-0.5,1,0,56,7,23,5,0.666666686534882,1
"367",1171,6,1,0.5,1,0,33,3,19,6,1,1
"368",1174,6,1,0,0,0,49,4,20,4,1,1
"369",1175,2,0,-1,1,1,46,4,2,0,0,1
"370",1177,5,1,0.5,1,0,59,6,22,6,1,1
"371",1183,7,1,0,1,1,49,4,21,6,0.666666686534882,1
"372",1188,2,0,-1,1,0,24,6,12,1,0,1
"373",1189,5,1,0,1,0,50,7,18,5,0.666666686534882,1
"374",1191,4,0,0.5,1,1,63,7,11,2,0,1
"375",1193,4,0,0,0,1,44,4,2,2,0,1
"376",1194,6,1,-0.5,1,1,65,6,14,3,1,1
"377",1199,4,1,0,1,0,42,4,14,4,1,1
"378",1200,3,0,-0.5,0,0,26,6,18,1,0,1
"379",1201,4,1,0.5,1,0,44,3,20,3,0,1
"380",1207,4,0,0.5,1,0,42,7,21,2,0,1
"381",1208,3,0,0,0,0,50,6,23,2,0,1
"382",1209,4,1,-0.5,1,1,24,3,6,5,1,1
"383",1211,6,1,0,1,0,66,6,18,6,1,1
